track_id,name,album,artist_name,popularity,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
4tNXntkAzQ5A2dfYRYGIIQ,Easier,Easier,5 Seconds of Summer,0,boy band,0.505,0.428,5,-5.604,1,0.221,0.489,0.0,0.0977,0.618,175.813,157493,4
7K7PuDJvsbmfhOvIuAnHiE,In My Mind,In My Mind,Prismo,0,bass trap,0.615,0.944,1,-4.336,0,0.0547,0.00179,4.71e-05,0.337,0.473,150.081,188404,4
5LFGS3o3H1OSIf6y9lH8oP,Insomniac,Just For Fun,Timeflies,39,indie pop rap,0.841,0.708,8,-4.047,1,0.0396,0.0069,2.92e-06,0.0967,0.514,100.019,179120,4
0kD586ste6xyDRqUYhVlCh,Savage (feat. Flux Pavilion & MAX),Savage (feat. Flux Pavilion & MAX),Whethan,56,electropop,0.679,0.662,7,-5.861,1,0.0773,0.151,0.0,0.376,0.365,90.054,205333,4
1wjzFQodRWrPcQ0AnYnvQ9,I Like Me Better,I Like Me Better,Lauv,0,pop,0.752,0.505,9,-7.621,1,0.253,0.535,2.55e-06,0.104,0.419,91.97,197437,4
15fZrZhdK0g1BS9sDeW6sD,Love No More,Love No More,Loud Luxury,5,edm,0.767,0.678,0,-6.249,1,0.054,0.0221,4.82e-05,0.258,0.217,121.01,168636,4
2J0X46UkpfLlWbuCXFgDLr,Waste It On Me (feat. BTS),Neon Future III,Steve Aoki,62,edm,0.669,0.684,7,-4.595,1,0.0585,0.252,0.0,0.72,0.466,96.097,192537,4
09IStsImFySgyp0pIQdqAc,The Middle,The Middle,Zedd,78,complextro,0.753,0.657,7,-3.061,1,0.0449,0.171,0.0,0.112,0.437,107.01,184732,4
60wwxj6Dd9NJlirf84wr2c,Clarity,Clarity,Zedd,75,complextro,0.509,0.781,8,-3.48,1,0.072,0.0398,0.0,0.0749,0.176,128.0,271427,4
45qSLEJKJTwKTSBOa8LxPY,All Around The World,Believe (Deluxe Edition),Justin Bieber,0,canadian pop,0.697,0.822,3,-3.876,0,0.194,0.027,1.1e-06,0.151,0.776,127.98,244547,4
07dYGGSrzPeg6a3KZjWX65,Boyfriend,Believe (Deluxe Edition),Justin Bieber,0,canadian pop,0.719,0.535,10,-6.069,0,0.0641,0.0314,0.0017,0.141,0.276,96.982,171333,4
4rvtlpAeDuOn4baUJPCEhy,As Long As You Love Me,Believe (Deluxe Edition),Justin Bieber,0,canadian pop,0.579,0.871,0,-3.385,0,0.109,0.0679,0.0,0.353,0.601,139.841,229467,4
0KTsmr6JOuhxZuiXUha1xC,Beauty And A Beat,Believe (Deluxe Edition),Justin Bieber,0,canadian pop,0.601,0.845,0,-4.711,1,0.0653,0.00116,0.0001,0.0653,0.662,127.97,227987,4
4QNpBfC0zvjKqPJcyqBy9W,Give Me Everything (feat. Nayer),Planet Pit (Deluxe Version),Pitbull,86,dance pop,0.671,0.939,8,-3.206,1,0.161,0.191,0.0,0.298,0.53,129.024,252307,4
62zFEHfAYl5kdHYOivj4BC,International Love (feat. Chris Brown),Planet Pit (Deluxe Version),Pitbull,80,dance pop,0.67,0.855,0,-3.035,0,0.0499,0.0124,0.0,0.335,0.648,120.05,227280,4
0Hf4aIJpsN4Os2f0y0VqWl,Feel This Moment (feat. Christina Aguilera),Global Warming: Meltdown (Deluxe Version),Pitbull,80,dance pop,0.673,0.758,7,-3.632,1,0.158,0.039,0.0,0.341,0.542,135.956,229507,4
7rv0UuxMX7CpUUwEE1jVrd,Beautiful,Freedom,Akon,1,dance pop,0.743,0.948,0,-4.445,0,0.0893,0.122,0.0,0.112,0.614,130.024,312987,4
5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Confessions (Expanded Edition),USHER,85,atl hip hop,0.894,0.791,2,-4.699,1,0.112,0.0183,0.0,0.0388,0.583,105.018,250373,4
4356Typ82hUiFAynbLYbPn,DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition),USHER,82,atl hip hop,0.663,0.861,7,-3.398,0,0.109,0.0338,0.0,0.082,0.654,119.963,220800,4
5j0McHPthKpOXRr3fBq8M0,Love in This Club (feat. Young Jeezy),Here I Stand,USHER,74,atl hip hop,0.573,0.712,0,-5.976,1,0.0732,0.0572,0.0,0.167,0.346,140.012,259720,4
47TqCCnEliDp8NRDyIQoQq,You Make Me Wanna...,My Way,USHER,70,atl hip hop,0.761,0.639,5,-7.577,0,0.0539,0.0359,0.0,0.0945,0.922,164.088,219120,4
0385HqYimoTQaHZP17KwG1,We Found Love (feat. Rihanna),18 Months,Calvin Harris,0,dance pop,0.738,0.776,1,-4.808,1,0.0392,0.0234,0.0018,0.0775,0.608,127.984,215520,4
